activity_person,torso,score
10_5,8.9375,1.0
10_5,8.3584,0.125
10_5,8.2524,0.0
10_5,8.2959,0.0
10_5,7.4609,0.34999999999999998
10_5,6.864,0.074999999999999997
10_5,7.6671,0.074999999999999997
10_5,8.1271,0.0
10_5,8.4411,0.0
10_5,8.1572,0.0
10_5,7.6203,0.32500000000000001
10_5,8.6043,0.0
10_5,9.8116,0.72499999999999998
10_5,12.72,1.0
10_5,12.331,0.17499999999999999
10_5,10.344,0.45000000000000001
10_5,9.2696,0.40000000000000002
10_5,9.2385,0.0
10_5,8.7663,0.25
10_5,7.74,0.42499999999999999
10_5,6.6985,0.025000000000000001
10_5,6.796,0.050000000000000003
10_5,7.5909,0.0
10_5,8.282,0.0
10_5,8.66,0.074999999999999997
10_5,8.4665,0.025000000000000001
10_5,8.4891,0.025000000000000001
10_5,9.2105,0.050000000000000003
10_5,11.387,0.45000000000000001
10_5,13.411,0.97499999999999998
10_5,10.74,0.94999999999999996
10_5,9.4745,0.25
10_5,9.3644,0.025000000000000001
10_5,8.6742,0.0
10_5,7.9943,0.0
10_5,6.908,0.050000000000000003
10_5,6.1321,0.55000000000000004
10_5,6.6525,0.94999999999999996
10_5,7.5622,0.025000000000000001
10_5,8.6641,0.074999999999999997
10_5,9.0223,0.025000000000000001
10_5,8.5146,0.0
10_5,8.6619,0.025000000000000001
10_5,11.024,1.0
10_5,12.964,0.5
10_5,11.623,0.22500000000000001
10_5,9.2321,0.97499999999999998
10_5,9.1184,0.0
10_5,8.996,0.074999999999999997
10_5,8.097,0.025000000000000001
10_5,6.9513,0.40000000000000002
10_5,6.4372,0.125
10_5,6.8462,0.10000000000000001
10_5,7.4851,0.0
10_5,8.3781,0.0
10_5,9.0484,0.0
10_5,8.9902,0.22500000000000001
10_5,8.974,0.0
10_5,10.092,0.57499999999999996
10_5,13.321,0.625
10_5,11.572,0.10000000000000001
10_5,9.786,0.22500000000000001
10_5,9.3443,0.0
10_5,8.6396,0.025000000000000001
10_5,8.3233,0.050000000000000003
10_5,7.6379,0.050000000000000003
10_5,6.8197,0.20000000000000001
10_5,6.4151,0.0
10_5,7.0108,0.0
10_5,8.1431,0.32500000000000001
10_5,8.5612,0.074999999999999997
10_5,8.5759,0.025000000000000001
10_5,8.7242,0.025000000000000001
10_5,9.3304,0.050000000000000003
10_5,13.427,0.94999999999999996
10_5,12.428,0.050000000000000003
10_5,9.5014,0.34999999999999998
10_5,9.8482,0.025000000000000001
10_5,9.8387,0.65000000000000002
10_5,8.3951,0.10000000000000001
10_5,6.6967,0.125
10_5,6.2815,0.0
10_5,6.8462,0.0
10_5,7.7083,0.0
10_5,8.3109,0.0
10_5,8.4584,0.074999999999999997
10_5,8.7493,0.025000000000000001
10_5,8.9123,0.0
10_5,9.4922,0.050000000000000003
10_5,12.551,0.75
10_5,12.426,0.0
10_5,10.016,0.0
10_5,8.8045,0.025000000000000001
10_5,9.1769,0.025000000000000001
10_5,8.4224,0.0
10_5,8.2806,0.0
10_5,6.9541,0.0
10_5,6.655,0.0
10_5,7.3698,0.025000000000000001
10_5,7.9517,0.0
10_5,8.4437,0.0
10_5,8.2794,0.025000000000000001
10_5,8.301,0.0
10_5,8.7289,0.0
10_5,11.702,0.82499999999999996
10_5,13.836,0.90000000000000002
10_5,11.402,1.0
10_5,9.5094,0.0
10_5,9.7381,0.125
10_5,8.551,0.10000000000000001
10_5,7.4709,0.375
10_5,6.563,0.0
10_5,6.5787,0.0
10_5,7.4127,0.0
10_5,8.5281,0.47499999999999998
10_5,9.0176,0.0
10_5,8.6751,0.0
10_5,8.5643,0.0
10_5,9.3148,0.20000000000000001
10_5,11.046,0.97499999999999998
10_5,12.869,0.10000000000000001
10_5,10.964,0.074999999999999997
10_5,9.3038,0.074999999999999997
10_5,9.1202,0.0
10_5,7.8931,0.22500000000000001
10_5,7.4005,0.42499999999999999
10_5,6.762,0.34999999999999998
10_5,6.6262,0.0
10_5,7.2343,0.0
10_5,8.4496,0.0
10_5,8.7857,0.0
10_5,8.5238,0.0
10_5,8.7923,0.025000000000000001
10_5,9.1802,0.14999999999999999
10_5,11.374,1.0
10_5,12.666,0.20000000000000001
10_5,10.954,0.025000000000000001
10_5,8.6129,0.29999999999999999
10_5,9.6705,0.074999999999999997
10_5,8.9589,0.0
10_5,7.7252,0.0
10_5,6.6392,0.0
10_5,6.4955,0.0
10_5,7.5915,0.025000000000000001
10_5,8.3947,0.0
10_5,8.8999,0.0
10_5,8.8404,0.0
10_5,8.6173,0.025000000000000001
10_5,9.421,0.17499999999999999
10_5,11.563,1.0
10_5,12.391,0.125
10_5,10.53,0.0
10_5,9.3852,0.0
10_5,9.4342,0.0
10_5,8.3834,0.0
10_5,7.9646,0.0
10_5,7.2355,0.074999999999999997
10_5,6.5362,0.0
10_5,6.8541,0.025000000000000001
10_5,8.0461,0.0
10_5,8.7397,0.125
10_5,8.3973,0.025000000000000001
10_5,8.4609,0.025000000000000001
10_5,9.1277,0.10000000000000001
10_5,11.76,1.0
10_5,13.78,0.27500000000000002
10_5,11.295,0.10000000000000001
10_5,8.1281,0.82499999999999996
10_5,8.7746,0.0
10_5,8.4894,0.0
10_5,8.2011,0.0
10_5,7.2929,0.0
10_5,7.0998,0.0
10_5,7.508,0.0
10_5,7.723,0.22500000000000001
10_5,8.019,0.0
10_5,8.3763,0.0
10_5,8.6976,0.025000000000000001
10_5,9.0465,0.0
10_5,9.328,0.074999999999999997
10_5,12.64,0.90000000000000002
10_5,11.825,0.0
10_5,10.053,0.25
10_5,9.4003,0.025000000000000001
10_5,9.22,0.025000000000000001
10_5,8.8754,0.0
10_5,7.7558,0.0
10_5,6.6695,0.0
10_5,6.445,0.0
10_5,7.1894,0.0
10_5,8.2018,0.0
10_5,8.5458,0.0
10_5,8.62,0.0
10_5,9.2979,0.025000000000000001
10_5,9.4476,0.074999999999999997
10_5,12.557,1.0
10_5,12.353,0.025000000000000001
10_5,10.089,0.69999999999999996
10_5,8.3885,0.375
10_5,9.2675,0.025000000000000001
10_5,8.5264,0.0
10_5,7.4706,0.0
10_5,6.4974,0.074999999999999997
10_5,6.4889,0.0
10_5,7.2418,0.0
10_5,8.4993,0.0
10_5,9.362,0.10000000000000001
10_5,8.6327,0.0
10_5,8.6628,0.0
10_5,9.3288,0.025000000000000001
10_5,12.686,0.875
10_5,12.872,0.22500000000000001
10_5,10.286,0.52500000000000002
10_5,9.0297,0.20000000000000001
10_5,9.7586,0.17499999999999999
10_5,8.7104,0.050000000000000003
10_5,7.2125,0.67500000000000004
10_5,6.0429,0.10000000000000001
10_5,6.6973,0.0
10_5,7.4863,0.050000000000000003
10_5,8.4997,0.0
10_5,8.5679,0.0
10_5,8.4099,0.0
10_5,8.2675,0.0
10_5,9.1423,0.0
10_5,13.053,1.0
10_5,12.918,0.0
10_5,9.5915,0.82499999999999996
10_5,8.3148,0.074999999999999997
10_5,9.2558,0.0
10_5,8.3195,0.0
10_5,7.4406,0.025000000000000001
10_5,7.1528,0.17499999999999999
10_5,7.2184,0.125
10_5,7.9249,0.025000000000000001
10_5,8.1916,0.17499999999999999
10_5,8.1534,0.0
10_5,8.0357,0.074999999999999997
10_5,8.4231,0.025000000000000001
10_5,9.0172,0.0
10_5,10.15,0.77500000000000002
10_5,12.121,0.40000000000000002
10_5,11.079,0.10000000000000001
10_5,9.5014,0.90000000000000002
10_5,9.0433,0.025000000000000001
10_5,9.2817,0.0
10_5,8.8473,0.025000000000000001
10_5,7.8318,0.10000000000000001
10_5,6.7875,0.025000000000000001
10_5,6.8907,0.025000000000000001
10_5,7.8745,0.025000000000000001
10_5,8.5074,0.0
10_5,8.3371,0.025000000000000001
10_5,8.5308,0.0
10_5,8.6118,0.0
10_5,9.4265,0.074999999999999997
10_5,13.188,1.0
10_5,12.605,0.025000000000000001
10_5,9.7464,0.625
10_5,8.8071,0.0
10_5,8.8986,0.0
10_5,8.0954,0.0
10_5,7.4276,0.025000000000000001
10_5,6.8313,0.025000000000000001
10_5,7.0407,0.0
10_5,7.7836,0.0
10_5,8.4603,0.074999999999999997
10_5,8.7878,0.0
10_5,8.8109,0.0
10_5,8.4543,0.025000000000000001
10_5,9.1374,0.17499999999999999
10_5,11.149,0.94999999999999996
10_5,12.69,0.074999999999999997
10_5,11.128,0.0
10_5,9.8699,0.92500000000000004
10_5,9.4777,0.025000000000000001
10_5,8.7279,0.0
10_5,8.1296,0.0
10_5,7.0564,0.074999999999999997
10_5,6.3105,0.025000000000000001
10_5,6.7495,0.0
10_5,7.5096,0.0
10_5,8.2018,0.0
10_5,8.3657,0.050000000000000003
10_5,8.4398,0.0
10_5,8.7817,0.0
10_5,9.536,0.0
10_5,12.189,1.0
10_5,11.996,0.0
10_5,10.061,0.0
10_5,9.24,0.025000000000000001
10_5,9.7307,0.050000000000000003
10_5,8.9883,0.0
10_5,7.9188,0.025000000000000001
10_5,6.6237,0.0
10_5,6.2807,0.0
10_5,6.8896,0.0
10_5,7.4853,0.0
10_5,8.505,0.0
10_5,8.9292,0.0
10_5,9.0192,0.0
10_5,9.3612,0.025000000000000001
10_5,10.582,0.10000000000000001
10_5,12.107,0.14999999999999999
10_5,10.054,0.67500000000000004
10_5,8.953,0.0
10_5,9.6542,0.0
10_5,9.2945,0.10000000000000001
10_5,8.8913,0.025000000000000001
10_5,7.4746,0.0
10_5,6.2813,0.0
10_5,5.9524,0.025000000000000001
10_5,6.6749,0.0
10_5,7.598,0.074999999999999997
10_5,8.5444,0.0
10_5,8.812,0.0
10_5,8.7961,0.0
10_5,9.3787,0.125
10_5,11.98,0.29999999999999999
10_5,11.386,0.0
10_5,9.8526,0.0
10_5,10.267,0.125
10_5,10.133,0.5
10_5,9.5114,0.025000000000000001
10_5,7.7858,0.45000000000000001
10_5,6.2225,0.050000000000000003
10_5,5.5066,0.625
10_5,6.4887,1.0
10_5,7.5604,0.025000000000000001
10_5,8.4228,0.0
10_5,8.6688,0.0
10_5,9.1762,0.14999999999999999
10_5,9.5702,0.125
10_5,13.792,1.0
10_5,11.589,0.050000000000000003
10_5,8.9083,0.125
10_5,9.509,0.0
10_5,9.309,0.025000000000000001
10_5,8.0841,0.0
10_5,6.6843,0.0
10_5,5.9995,0.050000000000000003
10_5,6.1025,0.17499999999999999
10_5,6.8171,0.34999999999999998
10_5,8.2171,0.42499999999999999
10_5,8.5145,0.050000000000000003
10_5,8.8418,0.025000000000000001
10_5,9.0651,0.0
10_5,10.465,0.80000000000000004
10_5,12.025,0.025000000000000001
10_5,11.4,0.14999999999999999
10_5,8.8956,0.0
10_5,9.1979,0.0
10_5,9.3312,0.0
10_5,8.4226,0.025000000000000001
10_5,7.3011,0.050000000000000003
10_5,6.4147,0.050000000000000003
10_5,6.7407,0.0
10_5,7.6488,0.025000000000000001
10_5,8.4,0.050000000000000003
10_5,8.6464,0.025000000000000001
10_5,8.9832,0.0
10_5,8.9975,0.0
10_5,9.7195,0.025000000000000001
10_5,13.23,1.0
10_5,11.797,0.0
10_5,9.9343,0.0
10_5,9.1197,0.0
10_5,8.85,0.0
10_5,8.4738,0.025000000000000001
10_5,7.4444,0.050000000000000003
10_5,6.5358,0.0
10_5,6.5788,0.0
10_5,7.277,0.025000000000000001
10_5,8.1334,0.0
10_5,8.2902,0.025000000000000001
10_5,8.4397,0.0
10_5,8.245,0.14999999999999999
10_5,9.3359,0.0
10_5,13.173,0.125
10_5,12.42,0.0
10_5,9.4349,0.0
10_5,9.2226,0.0
10_5,9.5827,0.0
10_5,8.6322,0.025000000000000001
10_5,7.7999,0.025000000000000001
10_5,6.9207,0.025000000000000001
10_5,6.4664,0.0
10_5,7.2936,0.025000000000000001
10_5,8.3803,0.025000000000000001
10_5,8.6321,0.025000000000000001
10_5,8.8261,0.0
10_5,8.8569,0.0
10_5,9.5692,0.0
10_5,12.0,1.0
10_5,12.169,0.0
10_5,10.435,0.20000000000000001
10_5,9.1613,0.14999999999999999
10_5,9.1175,0.0
10_5,8.6451,0.0
10_5,8.1669,0.025000000000000001
10_5,7.1761,0.025000000000000001
10_5,6.535,0.0
10_5,6.8759,0.0
10_5,7.5758,0.025000000000000001
10_5,8.2836,0.0
10_5,8.1275,0.0
10_5,8.4319,0.0
10_5,9.1246,0.0
10_5,10.02,0.125
10_5,12.427,0.074999999999999997
10_5,11.706,0.0
10_5,9.2255,0.0
10_5,8.8057,0.0
10_5,9.1955,0.0
10_5,8.5278,0.0
10_5,7.5614,0.050000000000000003
10_5,6.8912,0.025000000000000001
10_5,7.1739,0.025000000000000001
10_5,7.4487,0.10000000000000001
10_5,8.0222,0.10000000000000001
10_5,8.3938,0.025000000000000001
10_5,8.4545,0.0
10_5,8.8634,0.0
10_5,9.8371,0.025000000000000001
10_5,13.676,1.0
10_5,12.341,0.0
10_5,9.8389,0.77500000000000002
10_5,9.0292,0.0
10_5,9.0878,0.0
10_5,8.6444,0.0
10_5,7.4884,0.050000000000000003
10_5,6.6237,0.0
10_5,6.8904,0.0
10_5,7.5008,0.025000000000000001
10_5,8.0668,0.375
10_5,8.1416,0.050000000000000003
10_5,8.1422,0.025000000000000001
10_5,8.1854,0.0
10_5,9.0589,0.0
10_5,12.735,0.025000000000000001
10_5,12.663,0.0
10_5,9.7909,0.0
10_5,8.5755,0.074999999999999997
10_5,9.299,0.0
10_5,8.5724,0.025000000000000001
10_5,7.9336,0.0
10_5,6.8766,0.025000000000000001
10_5,6.9413,0.0
10_5,7.4995,0.025000000000000001
10_5,8.0948,0.074999999999999997
10_5,8.4298,0.0
10_5,8.4372,0.025000000000000001
10_5,8.6753,0.0
10_5,9.5676,0.0
10_5,11.015,1.0
10_5,12.601,0.0
10_5,10.9,0.125
10_5,9.1042,0.625
10_5,8.9022,0.025000000000000001
10_5,8.757,0.025000000000000001
10_5,8.5012,0.0
10_5,7.6524,0.050000000000000003
10_5,6.9821,0.025000000000000001
10_5,7.1152,0.0
10_5,7.7841,0.0
10_5,8.163,0.025000000000000001
10_5,7.9773,0.14999999999999999
10_5,8.2746,0.074999999999999997
10_5,8.2892,0.10000000000000001
10_5,9.1425,0.0
10_5,12.084,0.80000000000000004
10_5,12.052,0.0
10_5,10.556,0.025000000000000001
10_5,8.375,0.72499999999999998
10_5,9.0202,0.0
10_5,8.8157,0.0
10_5,7.9461,0.14999999999999999
10_5,6.682,0.52500000000000002
10_5,6.472,0.0
10_5,7.2246,0.025000000000000001
10_5,7.9839,0.125
10_5,8.6304,0.025000000000000001
10_5,8.5416,0.025000000000000001
10_5,8.7065,0.0
10_5,9.167,0.0
10_5,11.909,0.0
10_5,12.347,0.0
10_5,10.711,0.10000000000000001
10_5,9.2077,0.625
10_5,9.0143,0.025000000000000001
10_5,8.287,0.074999999999999997
10_5,7.772,0.025000000000000001
10_5,7.0885,0.025000000000000001
10_5,6.5353,0.0
10_5,7.1005,0.0
10_5,7.9787,0.0
10_5,8.635,0.025000000000000001
10_5,8.6573,0.025000000000000001
10_5,8.737,0.0
10_5,9.2762,0.0
10_5,12.296,0.0
10_5,12.73,0.0
10_5,9.9834,0.0
10_5,8.6713,0.0
10_5,9.2552,0.025000000000000001
10_5,8.3506,0.0
10_5,7.0923,0.025000000000000001
10_5,6.4068,0.025000000000000001
10_5,6.9424,0.0
10_5,7.9408,0.050000000000000003
10_5,8.7203,0.025000000000000001
10_5,8.5718,0.025000000000000001
10_5,8.2447,0.0
10_5,8.6893,0.0
10_5,9.6886,0.050000000000000003
10_5,13.073,0.14999999999999999
10_5,11.809,0.0
10_5,10.039,0.0
10_5,9.0137,0.0
10_5,9.0573,0.025000000000000001
10_5,8.5788,0.025000000000000001
10_5,7.6619,0.025000000000000001
10_5,6.76,0.0
10_5,6.6983,0.0
10_5,7.3673,0.0
10_5,8.1643,0.025000000000000001
10_5,8.4106,0.20000000000000001
10_5,8.3736,0.0
10_5,8.4238,0.0
10_5,9.2076,0.025000000000000001
10_5,11.746,0.0
10_5,12.829,0.0
10_5,11.176,0.17499999999999999
10_5,8.569,0.97499999999999998
10_5,8.6414,0.025000000000000001
10_5,8.676,0.025000000000000001
10_5,8.2523,0.0
10_5,7.3074,0.0
10_5,6.7113,0.0
10_5,7.1358,0.0
10_5,7.9174,0.125
10_5,8.5563,0.0
10_5,8.6313,0.0
10_5,8.6468,0.0
10_5,8.8983,0.0
10_5,10.075,0.050000000000000003
10_5,13.33,0.59999999999999998
10_5,11.556,0.025000000000000001
10_5,9.2705,0.0
10_5,9.0067,0.025000000000000001
10_5,8.6366,0.025000000000000001
10_5,8.3953,0.0
10_5,7.3381,0.0
10_5,6.4894,0.0
10_5,6.6437,0.0
10_5,7.4181,0.0
10_5,8.2454,0.050000000000000003
10_5,8.3804,0.025000000000000001
10_5,8.5501,0.0
10_5,8.9601,0.0
10_5,10.451,0.050000000000000003
10_5,12.546,0.050000000000000003
10_5,11.771,0.125
10_5,8.7464,0.0
10_5,8.9239,0.0
10_5,9.0192,0.0
10_5,7.9177,0.0
10_5,6.9801,0.0
10_5,6.7856,0.0
10_5,7.2622,0.0
10_5,7.9096,0.025000000000000001
10_5,8.408,0.0
10_5,8.4526,0.0
10_5,8.6006,0.0
10_5,8.72,0.0
10_5,9.6942,0.050000000000000003
10_5,12.812,0.10000000000000001
10_5,11.362,0.025000000000000001
10_5,9.9916,0.025000000000000001
10_5,9.6685,0.025000000000000001
10_5,9.4278,0.10000000000000001
10_5,9.2391,0.10000000000000001
10_5,8.2757,0.0
10_5,6.7943,0.050000000000000003
10_5,6.228,0.0
10_5,6.7857,0.025000000000000001
10_5,7.7243,0.0
10_5,8.0374,0.050000000000000003
10_5,8.1343,0.0
10_5,9.1019,0.17499999999999999
10_5,9.447,0.050000000000000003
10_5,12.367,0.17499999999999999
10_5,12.658,0.0
10_5,9.7156,0.0
10_5,8.1352,0.025000000000000001
10_5,8.8068,0.0
10_5,8.4587,0.0
10_5,8.0053,0.0
10_5,7.128,0.0
10_5,6.8148,0.0
10_5,7.1874,0.0
10_5,7.707,0.025000000000000001
10_5,8.369,0.050000000000000003
10_5,8.7209,0.025000000000000001
10_5,8.9,0.0
10_5,9.3303,0.074999999999999997
10_5,10.924,0.074999999999999997
10_5,12.557,0.0
10_5,11.087,0.025000000000000001
10_5,9.3582,0.97499999999999998
10_5,9.2151,0.0
10_5,9.0259,0.0
10_5,8.5751,0.0
10_5,7.5316,0.025000000000000001
10_5,6.7879,0.0
10_5,7.0566,0.0
10_5,7.503,0.0
10_5,7.9791,0.074999999999999997
10_5,8.0392,0.125
10_5,8.4257,0.0
10_5,9.1263,0.0
10_5,11.24,0.82499999999999996
10_5,12.516,0.025000000000000001
10_5,10.818,0.050000000000000003
10_5,8.8362,0.025000000000000001
10_5,8.8062,0.0
10_5,8.9382,0.0
10_5,8.245,0.025000000000000001
10_5,7.4107,0.0
10_5,6.9334,0.0
10_5,7.2901,0.050000000000000003
10_5,7.5142,0.050000000000000003
10_5,7.9164,0.10000000000000001
10_5,8.2883,0.0
10_5,8.5413,0.0
10_5,8.8541,0.0
10_5,9.5533,0.17499999999999999
10_5,12.401,0.84999999999999998
10_5,12.197,0.0
10_5,10.372,0.025000000000000001
10_5,9.5645,0.92500000000000004
10_5,9.2672,0.0
10_5,8.3474,0.050000000000000003
10_5,8.0396,0.025000000000000001
10_5,7.2139,0.025000000000000001
10_5,6.6853,0.0
10_5,6.9673,0.0
10_5,7.4885,0.0
10_5,8.2177,0.050000000000000003
10_5,8.5084,0.025000000000000001
10_5,8.8278,0.0
10_5,9.1691,0.050000000000000003
10_5,11.612,0.20000000000000001
10_5,13.188,0.125
10_5,11.385,0.050000000000000003
10_5,9.2231,0.0
10_5,8.9698,0.0
10_5,8.5193,0.0
10_5,8.1412,0.0
10_5,7.1593,0.0
10_5,6.5179,0.0
10_5,7.3667,0.0
10_5,7.6251,0.0
10_5,8.1976,0.0
10_5,8.9716,0.0
10_5,8.6308,0.025000000000000001
10_5,8.869,0.0
10_5,9.6422,0.025000000000000001
10_5,12.984,0.14999999999999999
10_5,12.02,0.0
10_5,10.488,0.025000000000000001
10_5,9.388,0.97499999999999998
10_5,8.8791,0.0
10_5,8.794,0.0
10_5,7.8172,0.025000000000000001
10_5,6.7217,0.0
10_5,6.2074,0.0
10_5,6.4748,0.025000000000000001
10_5,7.2338,0.0
10_5,8.2031,0.050000000000000003
10_5,9.4104,0.22500000000000001
10_5,9.5911,0.34999999999999998
10_5,9.5604,0.32500000000000001
10_5,11.391,0.69999999999999996
10_5,11.915,0.0
10_5,11.271,0.0
10_5,10.316,0.0
10_5,10.224,0.20000000000000001
10_5,9.2272,0.125
10_5,7.8463,0.25
10_5,6.2983,0.92500000000000004
10_5,6.6249,0.0
10_5,7.9486,0.025000000000000001
10_5,7.9483,0.14999999999999999
10_5,8.3958,0.25
10_5,8.8302,0.0
10_5,8.7386,0.0
10_5,10.183,0.5
10_5,11.318,0.074999999999999997
10_5,12.2,0.025000000000000001
10_5,10.679,0.125
10_5,10.263,0.97499999999999998
10_5,10.212,0.025000000000000001
10_5,9.5722,0.0
10_5,9.2032,0.0
10_5,6.6422,0.80000000000000004
10_5,5.4044,0.42499999999999999
10_5,5.9684,0.40000000000000002
10_5,7.7264,0.0
10_5,9.1131,0.20000000000000001
10_5,8.9347,0.0
10_5,8.6434,0.0
10_5,9.3078,0.0
10_5,10.364,0.375
10_5,12.587,0.0
10_5,11.478,0.0
10_5,9.1094,0.0
10_5,9.4317,0.025000000000000001
10_5,9.4343,0.0
10_5,9.2479,0.0
10_5,8.3377,0.050000000000000003
10_5,6.6391,0.074999999999999997
10_5,6.3588,0.050000000000000003
10_5,7.2668,0.025000000000000001
10_5,9.1703,0.22500000000000001
10_5,9.8843,0.0
10_5,9.6602,0.0
10_5,9.5146,0.0
10_5,9.9746,0.050000000000000003
10_5,13.997,1.0
10_5,11.306,0.59999999999999998
10_5,9.6397,0.92500000000000004
10_5,9.9255,0.0
10_5,9.5656,0.0
10_5,8.9081,0.0
10_5,7.357,0.0
10_5,6.164,0.10000000000000001
10_5,6.2821,0.050000000000000003
10_5,7.1899,0.025000000000000001
10_5,8.3842,0.025000000000000001
10_5,8.5481,0.025000000000000001
10_5,8.3538,0.125
10_5,8.6533,0.050000000000000003
10_5,9.2193,0.0
10_5,12.771,0.074999999999999997
10_5,12.364,0.0
10_5,10.256,0.0
10_5,8.9117,0.025000000000000001
10_5,9.4778,0.0
10_5,9.2264,0.0
10_5,8.5398,0.0
10_5,7.24,0.0
10_5,6.5942,0.0
10_5,7.2334,0.0
10_5,7.9936,0.14999999999999999
10_5,8.4992,0.025000000000000001
10_5,8.3637,0.050000000000000003
10_5,8.3346,0.050000000000000003
10_5,9.1251,0.074999999999999997
10_5,10.15,0.375
10_5,13.376,0.22500000000000001
10_5,11.709,0.0
10_5,10.437,0.0
10_5,9.4544,0.0
10_5,8.5336,0.0
10_5,7.9282,0.125
10_5,6.8493,0.025000000000000001
10_5,6.201,0.025000000000000001
10_5,6.9375,0.0
10_5,8.0763,0.0
10_5,8.3073,0.025000000000000001
10_5,8.4409,0.0
10_5,8.2256,0.025000000000000001
10_5,8.6806,0.050000000000000003
10_5,9.5146,0.0
10_5,12.163,0.25
10_5,11.669,0.0
10_5,10.402,0.0
10_5,9.582,0.0
10_5,9.8488,0.0
10_5,9.0506,0.0
10_5,7.9477,0.0
10_5,6.7282,0.025000000000000001
10_5,6.1839,0.025000000000000001
10_5,7.113,0.0
10_5,7.7534,0.050000000000000003
10_5,8.5801,0.025000000000000001
10_5,8.6315,0.025000000000000001
10_5,8.661,0.025000000000000001
10_5,9.3597,0.0
10_5,10.588,0.025000000000000001
10_5,12.361,0.074999999999999997
10_5,10.902,0.20000000000000001
10_5,9.1591,0.69999999999999996
10_5,9.446,0.0
10_5,8.9052,0.0
10_5,8.3655,0.0
10_5,7.2715,0.0
10_5,6.4168,0.0
10_5,6.6685,0.0
10_5,7.5305,0.025000000000000001
10_5,8.5435,0.025000000000000001
